DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
470.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751906.25,
480.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751916.25,
490.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751926.25,
500.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751936.25,
510.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751946.25,
520.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,56.0,549.0,946751956.25,
530.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946751966.25,
540.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946751976.25,
550.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946751986.25,
560.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946751996.25,
570.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946752006.25,
580.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946752016.25,
590.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946752026.25,
600.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946752036.25,
610.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946752046.25,
620.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,57.0,549.0,946752056.25,
630.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752066.25,
640.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752076.25,
650.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752086.25,
660.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752096.25,
670.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752106.25,
680.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752116.25,
690.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752126.25,
700.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752136.25,
710.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752146.25,
720.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,58.0,549.0,946752156.25,
730.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752166.25,
740.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752176.25,
750.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752186.25,
760.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752196.25,
770.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752206.25,
780.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752216.25,
790.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752226.25,
800.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752236.25,
810.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752246.25,
820.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752256.25,
830.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,59.0,549.0,946752266.25,
840.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752276.25,
850.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752286.25,
860.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752296.25,
870.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752306.25,
880.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752316.25,
890.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752326.25,
900.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752336.25,
910.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752346.25,
920.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752356.25,
930.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,60.0,549.0,946752366.25,
940.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752376.25,
950.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752386.25,
960.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752396.25,
970.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752406.25,
980.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752416.25,
990.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752426.25,
1000.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752436.25,
1010.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752446.25,
1020.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752456.25,
1030.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752466.25,
1040.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752476.25,
1050.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,61.0,549.0,946752486.25,
1060.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752496.25,
1070.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752506.25,
1080.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752516.25,
1090.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752526.25,
1100.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752536.25,
1110.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752546.25,
1120.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752556.25,
1130.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752566.25,
1140.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752576.25,
1150.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752586.25,
1160.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,62.0,549.0,946752596.25,
1170.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,63.0,549.0,946752606.25,
1180.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,63.0,549.0,946752616.25,
1190.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,63.0,549.0,946752626.25,
1200.0,1,0,1,0,0,0,255,0,0,496.0,24.0,51.0,549.0,1000.0,24.0,63.0,549.0,946752636.25,
