DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
580.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750201.25,
590.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750211.25,
600.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750221.25,
610.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750231.25,
620.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750241.25,
630.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750251.25,
640.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750261.25,
650.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750271.25,
660.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750281.25,
670.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750291.25,
680.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750301.25,
690.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750311.25,
700.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750321.25,
710.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750331.25,
720.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750341.25,
730.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750351.25,
740.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750361.25,
750.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750371.25,
760.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750381.25,
770.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750391.25,
780.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750401.25,
790.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750411.25,
800.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750421.25,
810.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750431.25,
820.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750441.25,
830.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750451.25,
840.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750461.25,
850.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750471.25,
860.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750481.25,
870.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750491.25,
880.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750501.25,
890.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750511.25,
900.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750521.25,
910.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750531.25,
920.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750541.25,
930.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,77.0,549.0,946750551.25,
940.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750561.25,
950.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750571.25,
960.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750581.25,
970.0,1,0,0,1,0,0,255,1,0,499.0,24.0,80.0,549.0,1000.0,23.0,76.0,549.0,946750591.25,
