DeltaTime,Light,RaiseTemp,LowerTemp,LowerHumid,RaiseSMoist,LowerSMoist,Fan,LED,Wpump,PrevLight,PrevTemp,PrevHumid,PrevSMoist,CurLight,CurTemp,CurHumid,CurSMoist,CurUnixTime,
370.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751778.75,
380.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751788.75,
390.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751798.75,
400.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751808.75,
410.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751818.75,
420.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751828.75,
430.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751838.75,
440.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751848.75,
450.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751858.75,
460.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751868.75,
470.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751878.75,
480.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751888.75,
490.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751898.75,
500.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751908.75,
510.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,81.0,549.0,946751918.75,
520.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751928.75,
530.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751938.75,
540.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751948.75,
550.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751958.75,
560.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751968.75,
570.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751978.75,
580.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751988.75,
590.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946751998.75,
600.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752008.75,
610.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752018.75,
620.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752028.75,
630.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752038.75,
640.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752048.75,
650.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752058.75,
660.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752068.75,
670.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752078.75,
680.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752088.75,
690.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752098.75,
700.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752108.75,
710.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752118.75,
720.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752128.75,
730.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752138.75,
740.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752148.75,
750.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752158.75,
760.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752168.75,
770.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752178.75,
780.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752188.75,
790.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752198.75,
800.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752208.75,
810.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752218.75,
820.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752228.75,
830.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752238.75,
840.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752248.75,
850.0,1,0,1,0,0,0,255,0,0,496.0,24.0,80.0,549.0,1000.0,24.0,82.0,549.0,946752258.75,
