None, unix_time: 946705975.0, midnight_time: 3175.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.7575378417969, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.2817993164062, 852.2332763671875], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706075.0, midnight_time: 3275.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.7552490234375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.2791748046875, 852.2301025390625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706175.0, midnight_time: 3375.0, light: 0.0, temp: 20.0, humid: 90.0, weight: 774.7530212402344, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [90, 90], weight_raw: [697.2777099609375, 852.2283325195312], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706275.0, midnight_time: 3475.0, light: 0.0, temp: 20.0, humid: 90.0, weight: 774.7509765625, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [90, 90], weight_raw: [697.27587890625, 852.22607421875], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706375.0, midnight_time: 3575.0, light: 0.0, temp: 20.0, humid: 90.0, weight: 774.7490234375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [90, 90], weight_raw: [697.2741088867188, 852.2239379882812], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706475.0, midnight_time: 3675.0, light: 0.0, temp: 20.0, humid: 87.0, weight: 774.7427673339844, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [87, 87], weight_raw: [697.2684936523438, 852.217041015625], smoist_raw: [549, 549], level_raw: 135.0, fan: True, wpump: False, led: 0
None, unix_time: 946706575.0, midnight_time: 3775.0, light: 0.0, temp: 20.0, humid: 82.0, weight: 774.7261657714844, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [82, 82], weight_raw: [697.2535400390625, 852.1987915039062], smoist_raw: [549, 549], level_raw: 135.0, fan: True, wpump: False, led: 0
None, unix_time: 946706675.0, midnight_time: 3875.0, light: 0.0, temp: 20.0, humid: 80.0, weight: 774.7085266113281, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [80, 80], weight_raw: [697.2376708984375, 852.1793823242188], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706775.0, midnight_time: 3975.0, light: 0.0, temp: 20.0, humid: 80.0, weight: 774.7008361816406, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [80, 80], weight_raw: [697.2307739257812, 852.1708984375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706875.0, midnight_time: 4075.0, light: 0.0, temp: 20.0, humid: 81.0, weight: 774.696533203125, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [81, 81], weight_raw: [697.2268676757812, 852.1661987304688], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946706975.0, midnight_time: 4175.0, light: 0.0, temp: 20.0, humid: 82.0, weight: 774.6911010742188, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [82, 82], weight_raw: [697.2219848632812, 852.1602172851562], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707075.0, midnight_time: 4275.0, light: 0.0, temp: 20.0, humid: 83.0, weight: 774.6847839355469, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [83, 83], weight_raw: [697.21630859375, 852.1532592773438], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707175.0, midnight_time: 4375.0, light: 0.0, temp: 20.0, humid: 84.0, weight: 774.6812133789062, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [84, 84], weight_raw: [697.2130737304688, 852.1493530273438], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707275.0, midnight_time: 4475.0, light: 0.0, temp: 20.0, humid: 84.0, weight: 774.6767272949219, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [84, 84], weight_raw: [697.2090454101562, 852.1444091796875], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707375.0, midnight_time: 4575.0, light: 0.0, temp: 20.0, humid: 85.0, weight: 774.6725158691406, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [85, 85], weight_raw: [697.2052612304688, 852.1397705078125], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707475.0, midnight_time: 4675.0, light: 0.0, temp: 20.0, humid: 86.0, weight: 774.6685791015625, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [86, 86], weight_raw: [697.2017211914062, 852.1354370117188], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707575.0, midnight_time: 4775.0, light: 0.0, temp: 20.0, humid: 86.0, weight: 774.6648559570312, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [86, 86], weight_raw: [697.1983642578125, 852.13134765625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707675.0, midnight_time: 4875.0, light: 0.0, temp: 20.0, humid: 87.0, weight: 774.661376953125, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [87, 87], weight_raw: [697.1952514648438, 852.1275024414062], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707775.0, midnight_time: 4975.0, light: 0.0, temp: 20.0, humid: 87.0, weight: 774.6580810546875, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [87, 87], weight_raw: [697.1922607421875, 852.1239013671875], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707875.0, midnight_time: 5075.0, light: 0.0, temp: 20.0, humid: 88.0, weight: 774.6542663574219, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [88, 88], weight_raw: [697.1888427734375, 852.1196899414062], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946707975.0, midnight_time: 5175.0, light: 0.0, temp: 20.0, humid: 88.0, weight: 774.6521301269531, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [88, 88], weight_raw: [697.1868896484375, 852.1173706054688], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708075.0, midnight_time: 5275.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.6487731933594, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.1838989257812, 852.1136474609375], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708175.0, midnight_time: 5375.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.6468505859375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.1821899414062, 852.1115112304688], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708275.0, midnight_time: 5475.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.6444396972656, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.1799926757812, 852.10888671875], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708375.0, midnight_time: 5575.0, light: 0.0, temp: 20.0, humid: 90.0, weight: 774.6421508789062, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [90, 90], weight_raw: [697.1779174804688, 852.1063842773438], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708475.0, midnight_time: 5675.0, light: 0.0, temp: 20.0, humid: 90.0, weight: 774.6400146484375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [90, 90], weight_raw: [697.176025390625, 852.10400390625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708575.0, midnight_time: 5775.0, light: 0.0, temp: 20.0, humid: 90.0, weight: 774.6380004882812, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [90, 90], weight_raw: [697.1741943359375, 852.101806640625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708675.0, midnight_time: 5875.0, light: 0.0, temp: 20.0, humid: 91.0, weight: 774.6360778808594, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [91, 91], weight_raw: [697.1724853515625, 852.0996704101562], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708775.0, midnight_time: 5975.0, light: 0.0, temp: 20.0, humid: 91.0, weight: 774.6342468261719, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [91, 91], weight_raw: [697.1708374023438, 852.09765625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708875.0, midnight_time: 6075.0, light: 0.0, temp: 20.0, humid: 91.0, weight: 774.632568359375, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [91, 91], weight_raw: [697.1693115234375, 852.0958251953125], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946708975.0, midnight_time: 6175.0, light: 0.0, temp: 20.0, humid: 91.0, weight: 774.6309204101562, smoist: 549.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [91, 91], weight_raw: [697.1678466796875, 852.093994140625], smoist_raw: [549, 549], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709075.0, midnight_time: 6275.0, light: 0.0, temp: 20.0, humid: 91.0, weight: 774.6290283203125, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [91, 91], weight_raw: [697.1661376953125, 852.0919189453125], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709175.0, midnight_time: 6375.0, light: 0.0, temp: 20.0, humid: 92.0, weight: 774.6275634765625, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [92, 92], weight_raw: [697.164794921875, 852.09033203125], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709275.0, midnight_time: 6475.0, light: 0.0, temp: 20.0, humid: 92.0, weight: 774.6265563964844, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [92, 92], weight_raw: [697.1638793945312, 852.0892333984375], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709375.0, midnight_time: 6575.0, light: 0.0, temp: 20.0, humid: 92.0, weight: 774.625244140625, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [92, 92], weight_raw: [697.1627197265625, 852.0877685546875], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709475.0, midnight_time: 6675.0, light: 0.0, temp: 20.0, humid: 92.0, weight: 774.6239624023438, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [92, 92], weight_raw: [697.1615600585938, 852.0863647460938], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709575.0, midnight_time: 6775.0, light: 0.0, temp: 20.0, humid: 92.0, weight: 774.622802734375, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [92, 92], weight_raw: [697.1605224609375, 852.0850830078125], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709675.0, midnight_time: 6875.0, light: 0.0, temp: 20.0, humid: 92.0, weight: 774.6213989257812, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [92, 92], weight_raw: [697.1592407226562, 852.0835571289062], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709775.0, midnight_time: 6975.0, light: 0.0, temp: 20.0, humid: 93.0, weight: 774.6205749511719, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [93, 93], weight_raw: [697.1585083007812, 852.0826416015625], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709875.0, midnight_time: 7075.0, light: 0.0, temp: 20.0, humid: 93.0, weight: 774.6195373535156, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [93, 93], weight_raw: [697.1575927734375, 852.0814819335938], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946709975.0, midnight_time: 7175.0, light: 0.0, temp: 20.0, humid: 93.0, weight: 774.6185607910156, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [93, 93], weight_raw: [697.1566772460938, 852.0804443359375], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
None, unix_time: 946710075.0, midnight_time: 7275.0, light: 0.0, temp: 20.0, humid: 89.0, weight: 774.6140441894531, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [89, 89], weight_raw: [697.1526489257812, 852.075439453125], smoist_raw: [548, 548], level_raw: 135.0, fan: True, wpump: False, led: 0
None, unix_time: 946710175.0, midnight_time: 7375.0, light: 0.0, temp: 20.0, humid: 83.0, weight: 774.5992736816406, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [83, 83], weight_raw: [697.1393432617188, 852.0592041015625], smoist_raw: [548, 548], level_raw: 135.0, fan: True, wpump: False, led: 0
None, unix_time: 946710275.0, midnight_time: 7475.0, light: 0.0, temp: 20.0, humid: 79.0, weight: 774.576904296875, smoist: 548.0, level: 135.0, light_raw: [0, 0], temp_raw: [20, 20], humid_raw: [79, 79], weight_raw: [697.1192016601562, 852.0346069335938], smoist_raw: [548, 548], level_raw: 135.0, fan: False, wpump: False, led: 0
